job_id,industry_name
3693038998,Wholesale Building Materials
3693039588,Higher Education
3693039592,Leasing Non-residential Real Estate
3693039908,Financial Services
3693039928,Packaging and Containers Manufacturing
3693039968,Staffing and Recruiting
3693040603,Real Estate
3693040696,Hospitals and Health Care
3693040776,Non-profit Organizations
3693040865,Civil Engineering
3693040868,IT Services and IT Consulting
3693040873,Packaging and Containers Manufacturing
3693040913,Broadcast Media Production and Distribution
3693040943,IT Services and IT Consulting
3693040951,Biotechnology Research
3693040996,Hospitals and Health Care
3693040996,Medical Equipment Manufacturing
3693040996,Pharmaceutical Manufacturing
3693040997,"Appliances, Electrical, and Electronics Manufacturing"
3693040997,Automation Machinery Manufacturing
3693040997,Industrial Machinery Manufacturing
3693041274,IT Services and IT Consulting
3693041361,Financial Services
3693041555,Media Production
3693041637,IT Services and IT Consulting
3693041720,Packaging and Containers Manufacturing
3693041721,Packaging and Containers Manufacturing
3693041722,Packaging and Containers Manufacturing
3693041811,Software Development
3693041818,IT Services and IT Consulting
3693041818,Aviation and Aerospace Component Manufacturing
3693041818,Design Services
3693041825,Civil Engineering
3693041825,Construction
3693041825,Railroad Equipment Manufacturing
3693041833,Staffing and Recruiting
3693041864,Facilities Services
3693041882,Financial Services
3693041884,IT Services and IT Consulting
3693041892,Financial Services
3693041894,Food and Beverage Manufacturing
3693041907,Information Services
3693041907,IT Services and IT Consulting
3693041908,Law Practice
3693041909,"Technology, Information and Internet"
3693041909,Defense and Space Manufacturing
3693041909,Information Services
3693041910,Manufacturing
3693041913,Truck Transportation
3693041916,Individual and Family Services
3693041917,Wellness and Fitness Services
3693041918,Retail Apparel and Fashion
3693041922,Staffing and Recruiting
3693041924,Business Consulting and Services
3693041925,Advertising Services
3693041926,Food and Beverage Manufacturing
3693041926,Food and Beverage Services
3693041929,IT Services and IT Consulting
3693041929,Software Development
3693041929,Computer and Network Security
3693041930,Computers and Electronics Manufacturing
3693041930,"Appliances, Electrical, and Electronics Manufacturing"
3693041933,Software Development
3693041934,Government Administration
3693041937,IT Services and IT Consulting
3693041945,Motor Vehicle Manufacturing
3693041949,IT Services and IT Consulting
3693041955,Computer Games
3693041956,Food and Beverage Services
3693041960,IT Services and IT Consulting
3693041970,Financial Services
3693041982,Hospitals and Health Care
3693041983,"Appliances, Electrical, and Electronics Manufacturing"
3693041989,Hospitals and Health Care
3693041990,Financial Services
3693041994,Personal Care Product Manufacturing
3693041997,Motor Vehicle Manufacturing
3693042031,Semiconductor Manufacturing
3693042696,Computers and Electronics Manufacturing
3693042760,Packaging and Containers Manufacturing
3693042761,Packaging and Containers Manufacturing
3693042772,Packaging and Containers Manufacturing
3693042844,Financial Services
3693042889,Mining
3693042908,Staffing and Recruiting
3693042908,Hospitals and Health Care
3693042908,Mental Health Care
3693042911,Environmental Services
3693042936,Staffing and Recruiting
3693042936,Defense and Space Manufacturing
3693042937,Banking
3693042938,Staffing and Recruiting
3693042938,Consumer Services
3693042942,Environmental Services
3693042944,IT Services and IT Consulting
3693042945,Law Practice
3693042949,IT Services and IT Consulting
3693042951,IT Services and IT Consulting
3693042954,Financial Services
3693042960,Investment Management
3693042960,Financial Services
3693042962,Staffing and Recruiting
3693042964,Advertising Services
3693042966,Hospitals and Health Care
3693042971,Staffing and Recruiting
3693042971,Human Resources Services
3693042971,Hospitals and Health Care
3693042974,Insurance
3693042974,Hospitals and Health Care
3693042975,Accounting
3693042977,Restaurants
3693042977,Food and Beverage Manufacturing
3693042977,Food and Beverage Services
3693042981,Non-profit Organizations
3693042983,Staffing and Recruiting
3693042984,IT Services and IT Consulting
3693042988,Staffing and Recruiting
3693043308,Software Development
3693043469,Packaging and Containers Manufacturing
3693043608,Motor Vehicle Manufacturing
3693043623,Oil and Gas
3693043623,Chemical Manufacturing
3693043623,Environmental Services
3693043626,Government Relations Services
3693043649,Oil and Gas
3693043650,Financial Services
3693043652,IT Services and IT Consulting
3693043655,Education Administration Programs
3693043655,Higher Education
3693043658,Government Relations Services
3693043661,Staffing and Recruiting
3693043664,IT Services and IT Consulting
3693043667,Banking
