job_id,skill_name,industry_name
3692364370,Finance,Retail
3692364372,Accounting/Auditing,Financial Services
3692364372,Accounting/Auditing,Retail
3692364372,Finance,Financial Services
3692364372,Finance,Retail
3692364374,Accounting/Auditing,Financial Services
3692364374,Accounting/Auditing,Retail
3692364374,Finance,Financial Services
3692364374,Finance,Retail
3692364378,Accounting/Auditing,Financial Services
3692364378,Accounting/Auditing,Retail
3692364378,Finance,Financial Services
3692364378,Finance,Retail
3692364379,Accounting/Auditing,Financial Services
3692364379,Accounting/Auditing,Retail
3692364379,Finance,Financial Services
3692364379,Finance,Retail
3692364380,Accounting/Auditing,Financial Services
3692364380,Accounting/Auditing,Retail
3692364380,Finance,Financial Services
3692364380,Finance,Retail
3692364483,Other,
3692364560,Business Development,Outsourcing and Offshoring Consulting
3692364560,Sales,Outsourcing and Offshoring Consulting
3692364599,Sales,
3692364599,Management,
3692365234,Accounting/Auditing,Financial Services
3692365234,Accounting/Auditing,Retail
3692365234,Finance,Financial Services
3692365234,Finance,Retail
3692365236,Accounting/Auditing,Financial Services
3692365236,Accounting/Auditing,Retail
3692365236,Finance,Financial Services
3692365236,Finance,Retail
3692365238,Accounting/Auditing,Financial Services
3692365238,Accounting/Auditing,Retail
3692365238,Finance,Financial Services
3692365238,Finance,Retail
3692365242,Accounting/Auditing,Financial Services
3692365242,Accounting/Auditing,Retail
3692365242,Finance,Financial Services
3692365242,Finance,Retail
3692365243,Accounting/Auditing,Financial Services
3692365243,Accounting/Auditing,Retail
3692365243,Finance,Financial Services
3692365243,Finance,Retail
3692366202,Accounting/Auditing,Financial Services
3692366202,Accounting/Auditing,Retail
3692366202,Finance,Financial Services
3692366202,Finance,Retail
3692366207,Accounting/Auditing,Financial Services
3692366207,Accounting/Auditing,Retail
3692366207,Finance,Financial Services
3692366207,Finance,Retail
3692366208,Accounting/Auditing,Financial Services
3692366208,Accounting/Auditing,Retail
3692366208,Finance,Financial Services
3692366208,Finance,Retail
3692366209,Accounting/Auditing,Financial Services
3692366209,Accounting/Auditing,Retail
3692366209,Finance,Financial Services
3692366209,Finance,Retail
3692366211,Accounting/Auditing,Financial Services
3692366211,Accounting/Auditing,Retail
3692366211,Finance,Financial Services
3692366211,Finance,Retail
3692366212,Accounting/Auditing,Financial Services
3692366212,Accounting/Auditing,Retail
3692366212,Finance,Financial Services
3692366212,Finance,Retail
3692366214,Accounting/Auditing,Financial Services
3692366214,Accounting/Auditing,Retail
3692366214,Finance,Financial Services
3692366214,Finance,Retail
3692366220,Accounting/Auditing,Financial Services
3692366220,Accounting/Auditing,Retail
3692366220,Finance,Financial Services
3692366220,Finance,Retail
3692366441,Engineering,Industrial Machinery Manufacturing
3692366441,Engineering,"Appliances, Electrical, and Electronics Manufacturing"
3692366441,Project Management,Industrial Machinery Manufacturing
3692366441,Project Management,"Appliances, Electrical, and Electronics Manufacturing"
3692366441,Manufacturing,Industrial Machinery Manufacturing
3692366441,Manufacturing,"Appliances, Electrical, and Electronics Manufacturing"
3692367174,Accounting/Auditing,Financial Services
3692367174,Accounting/Auditing,Retail
3692367174,Finance,Financial Services
3692367174,Finance,Retail
3692367178,Accounting/Auditing,Financial Services
3692367178,Accounting/Auditing,Retail
3692367178,Finance,Financial Services
3692367178,Finance,Retail
3692367179,Accounting/Auditing,Financial Services
3692367179,Accounting/Auditing,Retail
3692367179,Finance,Financial Services
3692367179,Finance,Retail
3692367180,Accounting/Auditing,Financial Services
3692367180,Accounting/Auditing,Retail
3692367180,Finance,Financial Services
3692367180,Finance,Retail
3692367370,Information Technology,Motor Vehicle Manufacturing
3692368116,Accounting/Auditing,Financial Services
3692368116,Accounting/Auditing,Retail
3692368116,Finance,Financial Services
3692368116,Finance,Retail
3692368118,Accounting/Auditing,Financial Services
3692368118,Accounting/Auditing,Retail
3692368118,Finance,Financial Services
3692368118,Finance,Retail
3692368122,Accounting/Auditing,Financial Services
3692368122,Accounting/Auditing,Retail
3692368122,Finance,Financial Services
3692368122,Finance,Retail
3692368249,Project Management,Construction
3692368249,Information Technology,Construction
3692368330,Business Development,Non-profit Organizations
3692368330,Management,Non-profit Organizations
3692368330,General Business,Non-profit Organizations
3692369084,Information Technology,IT Services and IT Consulting
3692369084,Information Technology,Information Services
3692369084,Consulting,IT Services and IT Consulting
3692369084,Consulting,Information Services
3692370024,Information Technology,IT Services and IT Consulting
3692370024,Finance,IT Services and IT Consulting
3692370024,Consulting,IT Services and IT Consulting
3696987546,Project Management,Information Services
3696987546,Project Management,"Technology, Information and Internet"
3696987546,Strategy/Planning,Information Services
3696987546,Strategy/Planning,"Technology, Information and Internet"
3696987546,Other,Information Services
3696987546,Other,"Technology, Information and Internet"
3696987686,Management,Retail
3696987686,Manufacturing,Retail
3696987698,Management,Retail
3696987698,Manufacturing,Retail
3696987775,Sales,Retail
3696987775,Business Development,Retail
3696987938,Sales,Retail
3696987938,Business Development,Retail
3696988111,Other,Information Services
3696988111,Other,"Technology, Information and Internet"
3696988111,Information Technology,Information Services
3696988111,Information Technology,"Technology, Information and Internet"
3696988111,Engineering,Information Services
3696988111,Engineering,"Technology, Information and Internet"
3696988374,Management,Retail
3696988374,Manufacturing,Retail
3696988456,Sales,Retail
3696988456,Business Development,Retail
3696988990,Engineering,Motor Vehicle Manufacturing
3696988990,Engineering,Industrial Machinery Manufacturing
3696988990,Engineering,Automation Machinery Manufacturing
3696988990,Design,Motor Vehicle Manufacturing
3696988990,Design,Industrial Machinery Manufacturing
3696988990,Design,Automation Machinery Manufacturing
3696988990,Other,Motor Vehicle Manufacturing
3696988990,Other,Industrial Machinery Manufacturing
3696988990,Other,Automation Machinery Manufacturing
3696989463,Sales,Retail
3696989463,Business Development,Retail
3696989494,Management,Retail
3696989494,Manufacturing,Retail
3696989579,Sales,Retail
3696989579,Business Development,Retail
3696990096,Project Management,Information Services
3696990096,Project Management,"Technology, Information and Internet"
3696990096,Strategy/Planning,Information Services
3696990096,Strategy/Planning,"Technology, Information and Internet"
3696990096,Other,Information Services
3696990096,Other,"Technology, Information and Internet"
3696990234,Management,Retail
3696990234,Manufacturing,Retail
3696990251,Management,Retail
3696990251,Manufacturing,Retail
3696990252,Management,Retail
3696990252,Manufacturing,Retail
3696990450,Sales,Retail
3696990450,Business Development,Retail
3696990838,Sales,Retail
3696990838,Business Development,Retail
3696990961,Research,IT Services and IT Consulting
3696990961,Analyst,IT Services and IT Consulting
3696990961,Information Technology,IT Services and IT Consulting
3696990991,Sales,Retail
3696990991,Business Development,Retail
3696990992,Sales,Retail
3696990992,Business Development,Retail
3696990993,Sales,Retail
3696990993,Business Development,Retail
3696991158,Research,Staffing and Recruiting
3696991158,Analyst,Staffing and Recruiting
3696991158,Information Technology,Staffing and Recruiting
3696992346,Sales,Retail
3696992346,Business Development,Retail
3696992442,Sales,Retail
3696992442,Business Development,Retail
3696992556,Sales,Retail
3696992556,Business Development,Retail
3696993074,Management,Retail
3696993074,Manufacturing,Retail
3696993315,Sales,Retail
3696993315,Business Development,Retail
3696993316,Sales,Retail
3696993316,Business Development,Retail
3696993898,Other,Retail
3696993899,Other,Retail
3696994708,Sales,Retail
3696994708,Business Development,Retail
3696994715,Sales,Retail
3696994715,Business Development,Retail
3696994820,Other,Retail
3696994822,Sales,Retail
3696994822,Business Development,Retail
3696994827,Management,Retail
3696994827,Manufacturing,Retail
3696994828,Management,Retail
3696994828,Manufacturing,Retail
3696994861,Sales,Retail
3696994861,Business Development,Retail
3696995298,Sales,Retail
3696995298,Business Development,Retail
3696995419,Other,Retail
3696995462,Other,Retail
3696995466,Sales,Retail
3696995466,Business Development,Retail
3696995467,Other,Retail
3696995468,Other,Retail
3696996123,Other,Retail
3696997048,Engineering,IT Services and IT Consulting
3696997048,Information Technology,IT Services and IT Consulting
3696997068,Other,Retail
3696997069,Sales,Retail
3696997069,Business Development,Retail
3696997071,Sales,Retail
3696997071,Business Development,Retail
3696997739,Engineering,IT Services and IT Consulting
3696997739,Information Technology,IT Services and IT Consulting
3696998251,Research,Research Services
3696998251,Analyst,Research Services
3696998251,Information Technology,Research Services
3697105339,Engineering,Motor Vehicle Manufacturing
3697105530,Other,Warehousing and Storage
3697105530,Other,Consumer Services
3697105530,Other,Facilities Services
3700191806,Marketing,Hospitals and Health Care
3700191806,Public Relations,Hospitals and Health Care
3700191806,Writing/Editing,Hospitals and Health Care
3700194711,Finance,Hospitals and Health Care
3700194711,Sales,Hospitals and Health Care
3700199410,Sales,Real Estate
3700199410,Management,Real Estate
3700326545,Information Technology,Printing Services
3700345653,Design,Architecture and Planning
3700345653,Art/Creative,Architecture and Planning
